model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.5978189845474613,0.037622677621082616,0.6084607724722222,0.03861726420737454,0.6389030108331774,0.041720198844805066
Random Forest,0.5898543046357616,0.0229693366756735,0.612827282275406,0.021622930566950683,0.63959129918807,0.02899341459373222
