region,person_ai_comfort_raw,collab_feasibility_raw,ai_use_count,risk_count
North America,6.140350877192983,5.432950191570881,1.6273408239700375,3.4719101123595504
Europe,8.03225806451613,7.375,2.4242424242424243,3.393939393939394
India,6.81042654028436,6.903225806451613,2.0130434782608697,2.3521739130434782
Africa,7.456140350877193,7.47457627118644,2.0,2.8666666666666667
Latin America,5.681818181818182,5.454545454545454,1.7272727272727273,3.9545454545454546
Other Asia,7.678571428571429,7.6,2.3,2.966666666666667
