org_size,pct_has_tech_or_merl,pct_ai_consumers,count,bucket_mid,post_15,piecewise_fit
0-5,24.456521739130434,46.19565217391305,368,0,0,24.45652173913043
6-15,55.5045871559633,56.88073394495413,218,1,0,49.71178274520251
16-30,52.066115702479344,58.67768595041323,121,2,1,58.108554819030765
31-60,63.934426229508205,78.68852459016394,61,3,2,66.50532689285903
61-120,75.0,65.625,64,4,3,74.9020989666873
121+,86.02150537634408,73.11827956989248,93,5,4,83.29887104051556
