india_rural_urban,count,pct_ai_consumers,mean_comfort,mean_infra,mean_wug
metro,85,70.58823529411765,7.061728395061729,2.4352941176470586,2.4705882352941178
rural,77,51.94805194805194,6.36231884057971,2.2857142857142856,1.5714285714285714
urban,66,59.09090909090909,7.016666666666667,2.212121212121212,1.8636363636363635
