feature,coef,odds_ratio,p_value,ci_low,ci_high
region_compact_Europe,1.6524279270232463,5.219637353769354,0.144631346999543,0.5668016915887758,48.06727733732803
org_size_31-60,1.4365793397789626,4.206282915583198,0.001046344347833495,1.7816940687151797,9.930333314004788
cloud_storage,0.6471693673307051,1.910126303445717,0.0002030946367237313,1.35763943429658,2.6874458732893256
role_compact_Comms,0.5753453904595168,1.7777444368565662,0.1855325185580312,0.7584974738631332,4.166625983179929
region_compact_India,0.5224215307141875,1.686105666843903,0.16352159992827675,0.808593392697543,3.5159232630862443
org_agreements,0.45274715323873493,1.5726265027218715,0.029847928269767048,1.0452097543920704,2.3661797133740827
role_compact_Fundraiser,0.3770027728283181,1.4579083518951848,0.27735544148456925,0.7384366645604661,2.878373819359141
role_compact_Tech,0.3358410219551913,1.3991165783112647,0.5738466308563102,0.4340591614814742,4.50981657206415
regionality,0.32607515872932635,1.3855194988445874,0.0020735107166709233,1.1258548863705375,1.705072567448771
org_size_16-30,0.314068762955173,1.3689838686873315,0.23775325732394492,0.8127589315387228,2.3058704863175574
org_size_121+,0.3017795640139386,1.3522631064011934,0.4058799064481097,0.6637539273292897,2.754959983877617
org_size_6-15,0.2875510689589156,1.33315867345029,0.17653956335456478,0.8785666055988913,2.022967908487939
org_size_61-120,0.20934998080439818,1.2328764061099995,0.5612866047638481,0.6083765972999415,2.4984265329873074
region_compact_North America,0.09445417907558003,1.0990588020889005,0.8021564054134109,0.5249743170524498,2.300932086032707
merl_person,0.03717098465182865,1.0378704655877622,0.854432786623369,0.69772721630132,1.5438341491815482
data_use_policy,0.01265121487867104,1.0127315800456913,0.9454642956996537,0.7047988507227296,1.4552027889519463
org_years_raw,-0.000794243565194628,0.9992060717627379,0.6986461831773632,0.9951964232349149,1.003231875173096
role_compact_Leader,-0.012037018201236174,0.9880351369014203,0.9673811701467265,0.5549042135726332,1.7592467454277654
role_compact_Programs/Gov/Other,-0.08751655527249878,0.9162037035233455,0.7890689545453295,0.4825358511954205,1.7396204329073508
tech_person,-0.22468787348025807,0.7987654957486516,0.3307558171456968,0.5078963926727166,1.2562135238667214
region_compact_Other Asia,-0.5685139170201102,0.5663664812033755,0.32882500504498513,0.18093532498367337,1.7728488953698682
role_compact_MERL,-0.6624286799538298,0.5155975911034918,0.38164185677068774,0.1168980076655628,2.274126661869859
region_compact_Latin America,-0.9067200001748733,0.4038466710454418,0.2293565803711365,0.09207216667656284,1.7713510999193276
region_compact_Unknown,-41.17482769891768,1.3121985002172751e-18,0.9999999553547355,0.0,inf
