region,mean,std,count
Australia / Pacific,0.6178666666666667,0.5358735049741994,3
Europe,0.5752368421052632,0.43716016542443353,19
Other Asia,0.44515625,0.3678637700177426,16
India,0.3798219512195122,0.4582368681163483,123
Africa,0.32517555555555555,0.48350131294150767,45
North America,0.25727682926829265,0.5464341618933661,328
Latin America,-0.01617692307692307,0.4191109442495431,13
Unknown,-0.4242,0.3483208004124933,2
